name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,total_enrollment,ivy_league,tuition_avg
Muhlenberg College,Pennsylvania,PA,Private,4 Year,11765,52595,64360,52595,64360,17,Pennsylvania,53400,101900,43,20,2440,0,64360
Multnomah University,Oregon,OR,Private,4 Year,8870,25900,34770,25900,34770,22,Oregon,40500,76400,82,0,753,0,34770
Murray State University,Kentucky,KY,Public,4 Year,9190,9084,18274,24540,33730,12,Kentucky,44800,79900,56,9,11207,0,26002
Nazarene Bible College,Colorado,CO,Private,4 Year,NA,14700,14700,14700,14700,19,Colorado,33600,60100,NA,0,762,0,14700
Nebraska Wesleyan University,Nebraska,NE,Private,4 Year,9622,34202,43824,34202,43824,12,Nebraska,45700,80500,60,8,2083,0,43824
New College of Florida,Florida,FL,Public,4 Year,9264,6919,16183,29944,39208,20,Florida,47300,86500,40,4,834,0,27695.5
New England College,New Hampshire,NH,Private,4 Year,14222,37914,52136,37914,52136,6,New-Hampshire,45700,86400,43,24,2399,0,52136
New England Institute of Technology,Rhode Island,RI,Private,4 Year,13065,29940,43005,29940,43005,7,Rhode-Island,51700,93200,44,14,2922,0,43005
New Jersey City University,New Jersey,NJ,Public,4 Year,12738,12051,24789,21573,34311,24,New-Jersey,48700,87600,55,9,8136,0,29550
New Jersey Institute of Technology,New Jersey,NJ,Public,4 Year,13600,17338,30938,32750,46350,3,New-Jersey,64600,121300,51,75,10646,0,38644
New Mexico Highlands University,New Mexico,NM,Public,4 Year,7872,6150,14022,10302,18174,6,New-Mexico,40400,73800,63,4,3546,0,16098
New Mexico Institute of Mining and Technology,New Mexico,NM,Public,4 Year,8510,7770,16280,22268,30778,1,New-Mexico,64700,120400,61,91,2127,0,23529
New York University,New York,NY,Private,4 Year,18156,51828,69984,51828,69984,13,New-York,63100,117700,42,18,49274,0,69984
Newberry College,South Carolina,SC,Private,4 Year,10666,26424,37090,26424,37090,19,South-Carolina,41200,74700,54,14,1093,0,37090
Newman University,Kansas,KS,Private,4 Year,8326,30724,39050,30724,39050,6,Kansas,48000,88500,66,11,3687,0,39050
Nicholls State University,Louisiana,LA,Public,4 Year,9938,7982,17920,9075,19013,14,Louisiana,44500,84300,53,5,6292,0,18466.5
North Carolina Wesleyan College,North Carolina,NC,Private,4 Year,10800,31000,41800,31000,41800,21,North-Carolina,45300,78800,62,8,1872,0,41800
North Central College,Illinois,IL,Private,4 Year,11019,38880,49899,38880,49899,19,Illinois,50400,92900,45,9,3043,0,49899
Northeastern State University,Oklahoma,OK,Public,4 Year,7638,6650,14288,14720,22358,16,Oklahoma,44500,77600,58,7,8310,0,18323
Northeastern University,Massachusetts,MA,Private,4 Year,16880,51387,68267,51387,68267,16,Massachusetts,62500,109700,46,40,19798,0,68267
Northern Arizona University,Arizona,AZ,Public,4 Year,10282,11564,21846,25828,36110,4,Arizona,49600,90000,56,12,27705,0,28978
Northern Illinois University,Illinois,IL,Public,4 Year,10880,12262,23142,12262,23142,14,Illinois,53000,95500,47,20,20611,0,23142
Northern Kentucky University,Kentucky,KY,Public,4 Year,10022,10032,20054,19680,29702,6,Kentucky,49000,87400,46,12,15090,0,24878
Northern State University,South Dakota,SD,Public,4 Year,8029,8498,16527,11471,19500,7,South-Dakota,42300,77700,56,7,3531,0,18013.5
Northwest Christian University,Oregon,OR,Private,4 Year,9300,30050,39350,30050,39350,17,Oregon,45200,81100,62,5,705,0,39350
Northwest Missouri State University,Missouri,MO,Public,4 Year,10016,9805,19821,16457,26473,13,Missouri,46900,85100,50,26,6720,0,23147
Northwest Nazarene University,Idaho,ID,Private,4 Year,7400,29300,36700,29300,36700,6,Idaho,46200,80600,68,7,2249,0,36700
Northwestern Oklahoma State University,Oklahoma,OK,Public,4 Year,4780,7036,11816,14153,18933,18,Oklahoma,42200,76800,55,11,2166,0,15374.5
Northwestern University,Illinois,IL,Private,4 Year,16626,54567,71193,54567,71193,2,Illinois,63400,115400,46,20,21554,0,71193
Norwich University,Vermont,VT,Private,4 Year,13840,40016,53856,40016,53856,3,Vermont,57000,99100,51,20,3672,0,53856
Notre Dame of Maryland University,Maryland,MD,Private,4 Year,11850,36900,48750,36900,48750,23,Maryland,48300,86400,58,3,2764,0,48750
Nova Southeastern University,Florida,FL,Private,4 Year,13250,30900,44150,30900,44150,14,Florida,50200,89800,60,9,24148,0,44150
Oakland University,Michigan,MI,Public,4 Year,10100,12606,22706,24230,34330,9,Michigan,51300,93300,49,19,20519,0,28518
Oakwood University,Alabama,AL,Private,4 Year,9312,16720,26032,16720,26032,15,Alabama,43500,78800,71,16,1939,0,26032
Oberlin College,Ohio,OH,Private,4 Year,16338,55054,71392,55054,71392,13,Ohio,53100,96800,47,21,2978,0,71392
Oglethorpe University,Georgia,GA,Private,4 Year,13200,38100,51300,38100,51300,6,Georgia,52400,91400,50,12,1094,0,51300
Ohio Northern University,Ohio,OH,Private,4 Year,11650,32260,43910,32260,43910,6,Ohio,54400,103900,49,22,3695,0,43910
Ohio Wesleyan University,Ohio,OH,Private,4 Year,12430,45760,58190,45760,58190,9,Ohio,51300,99200,46,21,1734,0,58190
Oklahoma Baptist University,Oklahoma,OK,Private,4 Year,7350,28258,35608,28258,35608,19,Oklahoma,43900,76600,62,8,1979,0,35608
Oklahoma Christian University,Oklahoma,OK,Private,4 Year,8190,22760,30950,22760,30950,7,Oklahoma,49700,87900,57,41,2475,0,30950
Oklahoma City University,Oklahoma,OK,Private,4 Year,8896,31026,39922,31026,39922,7,Oklahoma,47700,87900,58,9,3035,0,39922
Oklahoma Panhandle State University,Oklahoma,OK,Public,4 Year,4695,8194,12889,9133,13828,20,Oklahoma,42300,74400,54,10,1298,0,13358.5
Oklahoma Wesleyan University,Oklahoma,OK,Private,4 Year,8644,26956,35600,26956,35600,15,Oklahoma,43300,78700,58,1,1345,0,35600
Old Dominion University,Virginia,VA,Public,4 Year,11620,10872,22492,29772,41392,14,Virginia,50200,89900,52,19,24932,0,31942
Oral Roberts University,Oklahoma,OK,Private,4 Year,9450,27728,37178,27728,37178,9,Oklahoma,45900,85100,59,8,3481,0,37178
Oregon Health & Science University,Oregon,OR,Public,4 Year,NA,19176,19176,33666,33666,1,Oregon,65400,108300,79,10,2861,0,26421
Oregon Institute of Technology,Oregon,OR,Public,4 Year,9058,9987,19045,28056,37114,2,Oregon,61200,106800,60,27,4260,0,28079.5
Oregon State University,Oregon,OR,Public,4 Year,12855,11166,24021,30141,42996,5,Oregon,56200,104800,53,34,28886,0,33508.5
Ouachita Baptist University,Arkansas,AR,Private,4 Year,7880,26790,34670,26790,34670,8,Arkansas,44100,80200,58,18,1501,0,34670
Pacific Lutheran University,Washington,WA,Private,4 Year,10790,42066,52856,42066,52856,10,Washington,54500,98100,53,20,3242,0,52856
Pacific Northwest College of Art,Oregon,OR,Private,4 Year,12860,38250,51110,38250,51110,15,Oregon,46300,85000,NA,0,519,0,51110
Pacific University,Oregon,OR,Private,4 Year,12528,44298,56826,44298,56826,8,Oregon,50200,94000,66,8,3640,0,56826
Park University,Missouri,MO,Private,4 Year,8200,12650,20850,12650,20850,14,Missouri,48500,85000,56,7,10792,0,20850
Peru State College,Nebraska,NE,Public,4 Year,8010,7452,15462,7482,15492,17,Nebraska,42600,74800,50,6,2499,0,15477
Pfeiffer University,North Carolina,NC,Private,4 Year,11226,30234,41460,30234,41460,23,North-Carolina,44200,78000,51,4,1784,0,41460
Philander Smith College,Arkansas,AR,Private,4 Year,8250,12414,20664,12414,20664,19,Arkansas,34600,61200,NA,26,567,0,20664
Pittsburg State University,Kansas,KS,Public,4 Year,7778,7298,15076,18642,26420,8,Kansas,47100,84900,51,8,7479,0,20748
Plymouth State University,New Hampshire,NH,Public,4 Year,11100,14099,25199,22769,33869,12,New-Hampshire,47000,82200,50,6,4855,0,29534
Pomona College,California,CA,Private,4 Year,16716,52780,69496,52780,69496,13,California,63800,117200,47,37,1650,0,69496
Portland State University,Oregon,OR,Public,4 Year,10428,9105,19533,27060,37488,12,Oregon,50800,90500,48,16,27696,0,28510.5
Prairie View A&M University,Texas,TX,Public,4 Year,8925,10533,19458,24843,33768,17,Texas,57800,99400,65,22,8429,0,26613
Presbyterian College,South Carolina,SC,Private,4 Year,10480,38660,49140,38660,49140,6,South-Carolina,48800,89900,57,14,1460,0,49140
Prescott College,Arizona,AZ,Private,4 Year,7700,31485,39185,31485,39185,7,Arizona,41200,73500,69,0,848,0,39185
Princeton University,New Jersey,NJ,Private,4 Year,16290,49330,65620,49330,65620,2,New-Jersey,75200,139400,48,48,8088,1,65620
Providence College,Rhode Island,RI,Private,4 Year,14700,50390,65090,50390,65090,3,Rhode-Island,58900,106900,44,11,4533,0,65090
Queens University of Charlotte,North Carolina,NC,Private,4 Year,10860,34684,45544,34684,45544,9,North-Carolina,49400,86600,48,9,2248,0,45544
Quinnipiac University,Connecticut,CT,Private,4 Year,14540,47960,62500,47960,62500,10,Connecticut,55900,97700,46,10,9035,0,62500
Radford University,Virginia,VA,Public,4 Year,9406,11210,20616,22845,32251,22,Virginia,48900,82900,53,10,9798,0,26433.5
Ramapo College of New Jersey,New Jersey,NJ,Public,4 Year,12450,14374,26824,23715,36165,15,New-Jersey,51600,95200,41,12,6003,0,31494.5
Randolph College,Virginia,VA,Private,4 Year,13580,39585,53165,39585,53165,19,Virginia,47000,86100,50,23,693,0,53165
Reed College,Oregon,OR,Private,4 Year,14210,56340,70550,56340,70550,3,Oregon,56100,104900,44,26,1394,0,70550
Regis University,Colorado,CO,Private,4 Year,11560,36810,48370,36810,48370,8,Colorado,55500,94800,58,13,9208,0,48370
Rensselaer Polytechnic Institute,New York,NY,Private,4 Year,15260,53880,69140,53880,69140,6,New-York,71300,134100,49,78,6835,0,69140
Rhode Island College,Rhode Island,RI,Public,4 Year,11829,8929,20758,21692,33521,9,Rhode-Island,47200,83500,52,5,8641,0,27139.5
Rhode Island School of Design,Rhode Island,RI,Private,4 Year,13400,50960,64360,50960,64360,4,Rhode-Island,55500,100600,39,0,2449,0,64360
Rhodes College,Tennessee,TN,Private,4 Year,11403,47890,59293,47890,59293,2,Tennessee,51900,97800,46,25,2054,0,59293
Rice University,Texas,TX,Private,4 Year,14000,47350,61350,47350,61350,1,Texas,71000,129500,50,45,6621,0,61350
Rider University,New Jersey,NJ,Private,4 Year,14700,41310,56010,41310,56010,8,New-Jersey,51600,99000,47,5,5294,0,56010
Ripon College,Wisconsin,WI,Private,4 Year,8400,43808,52208,43808,52208,10,Wisconsin,46300,89600,60,26,840,0,52208
Roanoke College,Virginia,VA,Private,4 Year,13690,44030,57720,44030,57720,20,Virginia,48500,85100,53,18,2050,0,57720
Rockhurst University,Missouri,MO,Private,4 Year,10200,37590,47790,37590,47790,7,Missouri,54000,92500,59,11,3002,0,47790
Rocky Mountain College,Montana,MT,Private,4 Year,8330,28512,36842,28512,36842,5,Montana,46000,82900,59,12,1007,0,36842
Roger Williams University,Rhode Island,RI,Private,4 Year,15890,34522,50412,34522,50412,8,Rhode-Island,52900,92700,48,12,4884,0,50412
Rogers State University,Oklahoma,OK,Public,4 Year,8616,6870,15486,15210,23826,22,Oklahoma,41400,73800,48,11,4030,0,19656
Rollins College,Florida,FL,Private,4 Year,14735,49760,64495,49760,64495,18,Florida,49000,87000,53,7,3207,0,64495
Rose-Hulman Institute of Technology,Indiana,IN,Private,4 Year,14766,49871,64637,49871,64637,1,Indiana,75000,135800,51,96,2388,0,64637
Rowan University,New Jersey,NJ,Public,4 Year,12552,13697,26249,22339,34891,20,New-Jersey,51100,91200,43,21,14778,0,30570
Rush University,Illinois,IL,Private,4 Year,NA,24900,24900,24900,24900,5,Illinois,63500,107600,88,6,2457,0,24900
Rust College,Mississippi,MS,Private,4 Year,4300,9900,14200,9900,14200,13,Mississippi,34800,62400,76,32,963,0,14200
Sacred Heart University,Connecticut,CT,Private,4 Year,15310,41420,56730,41420,56730,9,Connecticut,55000,100500,46,15,7781,0,56730
Saginaw Valley State University,Michigan,MI,Public,4 Year,10186,10308,20494,24215,34401,25,Michigan,46400,82200,54,12,9829,0,27447.5
Saint Anselm College,New Hampshire,NH,Private,4 Year,14500,41200,55700,41200,55700,2,New-Hampshire,56400,100300,59,11,1968,0,55700
Saint Joseph's College of Maine,Maine,ME,Private,4 Year,13680,35650,49330,35650,49330,7,Maine,46900,84300,60,2,2933,0,49330
Saint Louis University,Missouri,MO,Private,4 Year,12290,43884,56174,43884,56174,4,Missouri,54200,95300,56,13,17052,0,56174
Saint Martin's University,Washington,WA,Private,4 Year,11445,37356,48801,37356,48801,15,Washington,53200,91800,60,29,1801,0,48801
Saint Mary's College of California,California,CA,Private,4 Year,15370,47280,62650,47280,62650,21,California,59900,110800,51,5,4112,0,62650
Saint Michael's College,Vermont,VT,Private,4 Year,12220,45375,57595,45375,57595,4,Vermont,52900,98500,40,18,2618,0,57595
Saint Peter's University,New Jersey,NJ,Private,4 Year,15414,37486,52900,37486,52900,12,New-Jersey,52900,95900,35,14,3302,0,52900
Saint Xavier University,Illinois,IL,Private,4 Year,11340,33880,45220,33880,45220,20,Illinois,49400,91200,60,10,4073,0,45220
Salisbury University,Maryland,MD,Public,4 Year,11950,9824,21774,19526,31476,19,Maryland,50400,89800,51,12,8770,0,26625
Salve Regina University,Rhode Island,RI,Private,4 Year,14500,40550,55050,40550,55050,6,Rhode-Island,53000,93900,50,6,2739,0,55050
Samford University,Alabama,AL,Private,4 Year,10550,31650,42200,31650,42200,5,Alabama,48400,90500,52,3,4933,0,42200
San Jose State University,California,CA,Public,4 Year,16442,7796,24238,17300,33742,17,California,63000,114700,53,28,32713,0,28990
Santa Clara University,California,CA,Private,4 Year,14910,51711,66621,51711,66621,6,California,69900,134700,44,29,9015,0,66621
Savannah College of Art and Design,Georgia,GA,Private,4 Year,14550,36630,51180,36630,51180,21,Georgia,46800,80100,34,3,11347,0,51180
Seattle Pacific University,Washington,WA,Private,4 Year,11796,42939,54735,42939,54735,6,Washington,53600,103400,52,9,4217,0,54735
Seattle University,Washington,WA,Private,4 Year,12288,44610,56898,44610,56898,1,Washington,60600,113700,59,12,7273,0,56898
Seton Hall University,New Jersey,NJ,Private,4 Year,15800,42470,58270,42470,58270,5,New-Jersey,57100,103800,45,8,9627,0,58270
Shenandoah University,Virginia,VA,Private,4 Year,10370,32530,42900,32530,42900,18,Virginia,48700,86600,57,7,3693,0,42900
Shepherd University,West Virginia,WV,Public,4 Year,10500,7548,18048,18048,28548,4,West-Virginia,47100,87100,48,12,4041,0,23298
Shorter University,Georgia,GA,Private,4 Year,9400,22370,31770,22370,31770,22,Georgia,45600,79900,55,6,1566,0,31770
Sierra Nevada College,Nevada,NV,Private,4 Year,13357,34241,47598,34241,47598,1,Nevada,54000,95500,39,2,1039,0,47598
Smith College,Massachusetts,MA,Private,4 Year,17520,52404,69924,52404,69924,24,Massachusetts,52700,98200,51,26,2989,0,69924
South Carolina State University,South Carolina,SC,Public,4 Year,9890,11060,20950,21750,31640,10,South-Carolina,44500,80800,71,16,3331,0,26295
South Dakota School of Mines and Technology,South Dakota,SD,Public,4 Year,8440,9779,18219,14021,22461,1,South-Dakota,66500,118500,58,92,2798,0,20340
South Dakota State University,South Dakota,SD,Public,4 Year,7896,8764,16660,12128,20024,2,South-Dakota,50500,91900,58,18,12543,0,18342
Southeast Missouri State University,Missouri,MO,Public,4 Year,8935,7418,16353,13155,22090,20,Missouri,43700,79100,52,9,12087,0,19221.5
Southeastern Louisiana University,Louisiana,LA,Public,4 Year,8420,8165,16585,20643,29063,15,Louisiana,46700,83900,51,8,14487,0,22824
Southeastern Oklahoma State University,Oklahoma,OK,Public,4 Year,6970,6750,13720,15390,22360,14,Oklahoma,45000,80500,53,15,3878,0,18040
Southern Adventist University,Tennessee,TN,Private,4 Year,6940,21950,28890,21950,28890,10,Tennessee,47500,84000,67,9,3175,0,28890
Southern Connecticut State University,Connecticut,CT,Public,4 Year,12860,10875,23735,22115,34975,20,Connecticut,48500,83600,51,6,10825,0,29355
Southern Methodist University,Texas,TX,Private,4 Year,16845,54493,71338,54493,71338,5,Texas,59700,110400,46,22,11272,0,71338
Southern Nazarene University,Oklahoma,OK,Private,4 Year,8496,25188,33684,25188,33684,13,Oklahoma,46100,81000,62,5,2254,0,33684
Southern New Hampshire University,New Hampshire,NH,Private,4 Year,13120,31136,44256,31136,44256,11,New-Hampshire,47400,83400,49,8,43274,0,44256
Southern Oregon University,Oregon,OR,Public,4 Year,13199,9654,22853,25584,38783,16,Oregon,46000,81200,54,6,5954,0,30818
Southern University at New Orleans,Louisiana,LA,Public,4 Year,9040,9371,18411,11160,20200,22,Louisiana,40100,71000,76,13,2103,0,19305.5
Southern Vermont College,Vermont,VT,Private,4 Year,11000,25511,36511,25511,36511,9,Vermont,42900,78700,63,17,457,0,36511
Southern Wesleyan University,South Carolina,SC,Private,4 Year,9030,25476,34506,25476,34506,20,South-Carolina,42900,74600,52,5,1778,0,34506
Southwestern Oklahoma State University,Oklahoma,OK,Public,4 Year,5830,7035,12865,13935,19765,6,Oklahoma,47900,90800,58,5,4994,0,16315
Spalding University,Kentucky,KY,Private,4 Year,7600,24500,32100,24500,32100,13,Kentucky,44800,79200,71,0,2311,0,32100
Spelman College,Georgia,GA,Private,4 Year,13865,29314,43179,29314,43179,10,Georgia,50200,85400,52,24,2135,0,43179
Spring Hill College,Alabama,AL,Private,4 Year,13462,39464,52926,39464,52926,6,Alabama,46600,89100,53,12,1376,0,52926
St. Mary's University,Texas,TX,Private,4 Year,10270,30650,40920,30650,40920,22,Texas,52900,95300,61,17,3712,0,40920
Stanford University,California,CA,Private,4 Year,15763,51354,67117,51354,67117,4,California,79000,145200,56,51,16963,0,67117
Stephens College,Missouri,MO,Private,4 Year,10632,30950,41582,30950,41582,24,Missouri,42800,77200,47,6,862,0,41582
Stetson University,Florida,FL,Private,4 Year,13052,46030,59082,46030,59082,21,Florida,47000,86000,44,7,4137,0,59082
Stevens Institute of Technology,New Jersey,NJ,Private,4 Year,15244,52202,67446,52202,67446,1,New-Jersey,75100,139900,47,79,6125,0,67446
Stevenson University,Maryland,MD,Private,4 Year,13130,36182,49312,36182,49312,15,Maryland,50400,91600,51,15,4322,0,49312
Stockton University,New Jersey,NJ,Public,4 Year,12282,13739,26021,20866,33148,25,New-Jersey,47400,85800,49,16,8570,0,29584.5
Stonehill College,Massachusetts,MA,Private,4 Year,16000,42746,58746,42746,58746,19,Massachusetts,55900,103200,42,18,2284,0,58746
Swarthmore College,Pennsylvania,PA,Private,4 Year,15474,52588,68062,52588,68062,4,Pennsylvania,67500,123200,44,45,1542,0,68062
Tabor College,Kansas,KS,Private,4 Year,9850,28245,38095,28245,38095,20,Kansas,43300,77500,62,7,766,0,38095
Taylor University,Indiana,IN,Private,4 Year,9614,34114,43728,34114,43728,10,Indiana,48700,90600,59,16,2146,0,43728
Tennessee State University,Tennessee,TN,Public,4 Year,7806,8008,15814,21364,29170,19,Tennessee,47200,78400,68,14,9027,0,22492
Tennessee Technological University,Tennessee,TN,Public,4 Year,9736,9103,18839,25759,35495,6,Tennessee,53100,95100,48,28,11339,0,27167
Texas Christian University,Texas,TX,Private,4 Year,12804,46950,59754,46950,59754,19,Texas,56000,98700,51,9,10033,0,59754
Texas Tech University,Texas,TX,Public,4 Year,9530,11045,20575,23495,33025,7,Texas,56800,106500,54,22,35158,0,26800
Texas Tech University Health Sciences Center,Texas,TX,Public,4 Year,NA,7911,7911,20361,20361,8,Texas,61300,104900,86,3,4931,0,14136
Thomas Edison State University,New Jersey,NJ,Public,4 Year,NA,7519,7519,9967,9967,13,New-Jersey,52500,95600,54,0,21495,0,8743
Thomas More College,Kentucky,KY,Private,4 Year,7950,31120,39070,31120,39070,2,Kentucky,50000,90900,56,8,1655,0,39070
Thomas More College of Liberal Arts,New Hampshire,NH,Private,4 Year,9700,21600,31300,21600,31300,5,New-Hampshire,48900,88300,NA,0,93,0,31300
Tougaloo College,Mississippi,MS,Private,4 Year,6643,10790,17433,10790,17433,12,Mississippi,36900,66400,69,18,900,0,17433
Towson University,Maryland,MD,Public,4 Year,13034,9940,22974,23208,36242,16,Maryland,51200,91200,47,15,22285,0,29608
Transylvania University,Kentucky,KY,Private,4 Year,10460,38750,49210,38750,49210,7,Kentucky,47900,85600,51,25,1014,0,49210
Trevecca Nazarene University,Tennessee,TN,Private,4 Year,8400,25598,33998,25598,33998,14,Tennessee,45300,81700,65,5,2606,0,33998
Trine University,Indiana,IN,Private,4 Year,10810,32175,42985,32175,42985,6,Indiana,55100,100300,56,26,2831,0,42985
Trinity University,Texas,TX,Private,4 Year,13464,42976,56440,42976,56440,11,Texas,54900,102900,46,27,2432,0,56440
Troy University,Alabama,AL,Public,4 Year,8185,12460,20645,22875,31060,11,Alabama,44500,81500,60,8,19041,0,25852.5
Truman State University,Missouri,MO,Public,4 Year,8780,7729,16509,14581,23361,12,Missouri,47900,85800,48,16,6248,0,19935
Tufts University,Massachusetts,MA,Private,4 Year,14560,56382,70942,56382,70942,7,Massachusetts,65200,118100,49,25,10907,0,70942
